央视频道,#genre#
东方卫视,http://221.221.167.14:8888/rtp/239.3.1.136:8032,0.7
东方卫视,http://111.193.236.223:4022/rtp/239.3.1.136:8032,0.62
东方卫视,http://111.192.0.32:4022/rtp/239.3.1.136:8032,0.5
北京卫视,http://221.218.157.61:3527/rtp/239.3.1.241:8000,0.82
北京卫视,http://221.221.167.14:8888/rtp/239.3.1.241:8000,0.68
北京卫视,http://111.196.75.15:8888/rtp/239.3.1.241:8000,0.58
北京卫视,http://221.221.162.225:8888/rtp/239.3.1.241:8000,0.58
北京卫视,http://123.112.19.67:8012/rtp/239.3.1.241:8000,0.57
北京卫视,http://111.196.191.248:5555/rtp/239.3.1.241:8000,0.54
北京卫视,http://111.192.0.32:4022/rtp/239.3.1.241:8000,0.48
北京卫视,http://111.193.236.223:4022/rtp/239.3.1.241:8000,0.43
北京卫视,http://111.193.236.110:8888/rtp/239.3.1.241:8000,0.32
吉林卫视,http://221.218.157.61:3527/rtp/239.3.1.240:8172,0.9
吉林卫视,http://221.221.167.14:8888/rtp/239.3.1.240:8172,0.69
吉林卫视,http://111.192.0.32:4022/rtp/239.3.1.240:8172,0.53
吉林卫视,http://111.196.75.15:8888/rtp/239.3.1.240:8172,0.4
吉林卫视,http://221.221.162.225:8888/rtp/239.3.1.240:8172,0.32
天津卫视,http://221.218.157.61:3527/rtp/239.3.1.141:1234,0.88
天津卫视,http://111.196.75.15:8888/rtp/239.3.1.141:1234,0.82
天津卫视,http://221.221.167.14:8888/rtp/239.3.1.141:1234,0.7
天津卫视,http://111.192.0.32:4022/rtp/239.3.1.141:1234,0.61
天津卫视,http://111.196.191.248:5555/rtp/239.3.1.141:1234,0.43
天津卫视,http://111.193.236.223:4022/rtp/239.3.1.141:1234,0.37
天津卫视,http://222.129.139.91:8888/rtp/239.3.1.141:1234,0.37
安徽卫视,http://221.218.157.61:3527/rtp/239.3.1.211:8064,0.88
安徽卫视,http://111.196.75.15:8888/rtp/239.3.1.211:8064,0.82
安徽卫视,http://221.221.167.14:8888/rtp/239.3.1.211:8064,0.62
安徽卫视,http://111.193.236.223:4022/rtp/239.3.1.211:8064,0.58
安徽卫视,http://111.192.0.32:4022/rtp/239.3.1.211:8064,0.51
安徽卫视,http://222.129.139.91:8888/rtp/239.3.1.211:8064,0.43
山东卫视,http://221.218.157.61:3527/rtp/239.3.1.209:8052,0.88
山东卫视,http://221.221.167.14:8888/rtp/239.3.1.209:8052,0.73
山东卫视,http://111.192.0.32:4022/rtp/239.3.1.209:8052,0.55
山东卫视,http://123.112.19.67:8012/rtp/239.3.1.209:8052,0.54
山东卫视,http://111.196.75.15:8888/rtp/239.3.1.209:8052,0.43
山东卫视,http://222.129.139.91:8888/rtp/239.3.1.209:8052,0.42
广东卫视,http://221.218.157.61:3527/rtp/239.3.1.142:8048,0.82
广东卫视,http://221.221.167.14:8888/rtp/239.3.1.142:8048,0.75
广东卫视,http://111.193.236.223:4022/rtp/239.3.1.142:8048,0.62
广东卫视,http://111.193.236.110:8888/rtp/239.3.1.142:8048,0.54
广东卫视,http://123.112.19.67:8012/rtp/239.3.1.142:8048,0.52
广东卫视,http://111.192.0.32:4022/rtp/239.3.1.142:8048,0.49
广东卫视,http://111.196.75.15:8888/rtp/239.3.1.142:8048,0.42
江苏卫视,http://221.218.157.61:3527/rtp/239.3.1.135:8028,0.88
江苏卫视,http://221.221.167.14:8888/rtp/239.3.1.135:8028,0.7
江苏卫视,http://111.196.75.15:8888/rtp/239.3.1.135:8028,0.6
江苏卫视,http://111.193.236.223:4022/rtp/239.3.1.135:8028,0.54
江苏卫视,http://123.112.19.67:8012/rtp/239.3.1.135:8028,0.51
江苏卫视,http://111.192.0.32:4022/rtp/239.3.1.135:8028,0.5
江苏卫视,http://111.193.236.110:8888/rtp/239.3.1.135:8028,0.42
江苏卫视,http://222.129.139.91:8888/rtp/239.3.1.135:8028,0.39
江西卫视,http://221.218.157.61:3527/rtp/239.3.1.123:8164,0.89
江西卫视,http://111.196.75.15:8888/rtp/239.3.1.123:8164,0.86
江西卫视,http://221.221.167.14:8888/rtp/239.3.1.123:8164,0.73
江西卫视,http://111.193.236.223:4022/rtp/239.3.1.123:8164,0.52
江西卫视,http://111.192.0.32:4022/rtp/239.3.1.123:8164,0.52
河北卫视,http://221.218.157.61:3527/rtp/239.3.1.148:8072,0.91
河北卫视,http://221.221.167.14:8888/rtp/239.3.1.148:8072,0.7
河北卫视,http://111.192.0.32:4022/rtp/239.3.1.148:8072,0.61
河北卫视,http://222.129.139.91:8888/rtp/239.3.1.148:8072,0.56
河北卫视,http://123.112.19.67:8012/rtp/239.3.1.148:8072,0.46
浙江卫视,http://221.218.157.61:3527/rtp/239.3.1.137:8036,0.9
浙江卫视,http://221.221.167.14:8888/rtp/239.3.1.137:8036,0.55
浙江卫视,http://111.192.0.32:4022/rtp/239.3.1.137:8036,0.52
浙江卫视,http://111.196.75.15:8888/rtp/239.3.1.137:8036,0.5
浙江卫视,http://123.112.19.67:8012/rtp/239.3.1.137:8036,0.31
深圳卫视,http://221.218.157.61:3527/rtp/239.3.1.134:8020,0.88
深圳卫视,http://111.196.75.15:8888/rtp/239.3.1.134:8020,0.84
深圳卫视,http://221.221.167.14:8888/rtp/239.3.1.134:8020,0.71
深圳卫视,http://222.129.139.91:8888/rtp/239.3.1.134:8020,0.69
深圳卫视,http://111.192.0.32:4022/rtp/239.3.1.134:8020,0.61
深圳卫视,http://111.193.236.223:4022/rtp/239.3.1.134:8020,0.53
深圳卫视,http://111.193.236.110:8888/rtp/239.3.1.134:8020,0.53
湖北卫视,http://221.218.157.61:3527/rtp/239.3.1.138:8044,0.88
湖北卫视,http://221.221.167.14:8888/rtp/239.3.1.138:8044,0.74
湖北卫视,http://222.129.139.91:8888/rtp/239.3.1.138:8044,0.63
湖北卫视,http://111.192.0.32:4022/rtp/239.3.1.138:8044,0.5
湖北卫视,http://111.196.191.248:5555/rtp/239.3.1.138:8044,0.49
湖北卫视,http://111.193.236.223:4022/rtp/239.3.1.138:8044,0.38
湖南卫视,http://221.218.157.61:3527/rtp/239.3.1.132:8012,0.88
湖南卫视,http://111.196.75.15:8888/rtp/239.3.1.132:8012,0.87
湖南卫视,http://221.221.167.14:8888/rtp/239.3.1.132:8012,0.63
湖南卫视,http://111.192.0.32:4022/rtp/239.3.1.132:8012,0.5
湖南卫视,http://123.112.19.67:8012/rtp/239.3.1.132:8012,0.45
贵州卫视,http://221.218.157.61:3527/rtp/239.3.1.149:8076,0.89
贵州卫视,http://221.221.167.14:8888/rtp/239.3.1.149:8076,0.66
贵州卫视,http://111.193.236.223:4022/rtp/239.3.1.149:8076,0.54
贵州卫视,http://111.192.0.32:4022/rtp/239.3.1.149:8076,0.52
贵州卫视,http://222.129.139.91:8888/rtp/239.3.1.149:8076,0.47
辽宁卫视,http://221.218.157.61:3527/rtp/239.3.1.210:8056,0.88
辽宁卫视,http://111.196.75.15:8888/rtp/239.3.1.210:8056,0.83
辽宁卫视,http://221.221.167.14:8888/rtp/239.3.1.210:8056,0.71
辽宁卫视,http://111.192.0.32:4022/rtp/239.3.1.210:8056,0.53
重庆卫视,http://221.218.157.61:3527/rtp/239.3.1.122:8160,0.9
重庆卫视,http://111.196.75.15:8888/rtp/239.3.1.122:8160,0.85
重庆卫视,http://221.221.167.14:8888/rtp/239.3.1.122:8160,0.54
重庆卫视,http://111.193.236.223:4022/rtp/239.3.1.122:8160,0.52
重庆卫视,http://111.192.0.32:4022/rtp/239.3.1.122:8160,0.51
重庆卫视,http://111.196.191.248:5555/rtp/239.3.1.122:8160,0.47
黑龙江卫视,http://221.218.157.61:3527/rtp/239.3.1.133:8016,0.89
黑龙江卫视,http://222.129.139.91:8888/rtp/239.3.1.133:8016,0.57
黑龙江卫视,http://111.193.236.223:4022/rtp/239.3.1.133:8016,0.54
黑龙江卫视,http://123.112.19.67:8012/rtp/239.3.1.133:8016,0.52
黑龙江卫视,http://221.221.167.14:8888/rtp/239.3.1.133:8016,0.47
黑龙江卫视,http://111.196.75.15:8888/rtp/239.3.1.133:8016,0.47
黑龙江卫视,http://111.192.0.32:4022/rtp/239.3.1.133:8016,0.46

其他频道,#genre#
淘BABY,http://221.218.157.61:3527/rtp/239.3.1.238:8001,0.82
淘BABY,http://111.196.75.15:8888/rtp/239.3.1.238:8001,0.82
淘BABY,http://221.221.167.14:8888/rtp/239.3.1.238:8001,0.68
淘BABY,http://111.192.0.32:4022/rtp/239.3.1.238:8001,0.58
淘BABY,http://111.193.236.223:4022/rtp/239.3.1.238:8001,0.56
淘BABY,http://111.196.191.248:5555/rtp/239.3.1.238:8001,0.32
淘BABY,http://123.112.19.67:8012/rtp/239.3.1.238:8001,0.32
淘剧场,http://221.218.157.61:3527/rtp/239.3.1.95:8001,0.83
淘剧场,http://111.196.75.15:8888/rtp/239.3.1.95:8001,0.79
淘剧场,http://221.221.167.14:8888/rtp/239.3.1.95:8001,0.69
淘剧场,http://123.112.19.67:8012/rtp/239.3.1.95:8001,0.64
淘剧场,http://111.192.0.32:4022/rtp/239.3.1.95:8001,0.62
淘剧场,http://222.129.139.91:8888/rtp/239.3.1.95:8001,0.52
淘剧场,http://111.196.191.248:5555/rtp/239.3.1.95:8001,0.34
淘娱乐,http://221.218.157.61:3527/rtp/239.3.1.100:8001,0.8
淘娱乐,http://111.196.75.15:8888/rtp/239.3.1.100:8001,0.77
淘娱乐,http://221.221.167.14:8888/rtp/239.3.1.100:8001,0.68
淘娱乐,http://111.193.236.223:4022/rtp/239.3.1.100:8001,0.56
淘娱乐,http://111.192.0.32:4022/rtp/239.3.1.100:8001,0.51
淘娱乐,http://123.112.19.67:8012/rtp/239.3.1.100:8001,0.4
淘娱乐,http://111.196.191.248:5555/rtp/239.3.1.100:8001,0.37
淘娱乐,http://221.221.162.225:8888/rtp/239.3.1.100:8001,0.31
淘电影,http://221.218.157.61:3527/rtp/239.3.1.250:8001,0.83
淘电影,http://111.196.75.15:8888/rtp/239.3.1.250:8001,0.81
淘电影,http://221.221.167.14:8888/rtp/239.3.1.250:8001,0.68
淘电影,http://111.196.191.248:5555/rtp/239.3.1.250:8001,0.61
淘电影,http://111.192.0.32:4022/rtp/239.3.1.250:8001,0.6
淘电影,http://222.129.139.91:8888/rtp/239.3.1.250:8001,0.6
淘电影,http://111.193.236.223:4022/rtp/239.3.1.250:8001,0.54

11-28-03,#genre#:
11-28-03,https://raw.gitmirror.com/MemoryCollection/IPTV/main/TB/mv.mp4
