央视频道,#genre#
CCTV5+,http://111.193.236.110:8888/rtp/239.3.1.130:8004,1.04
CCTV5+,http://117.133.95.242:8887/udp/228.1.1.23:8004,1.04
CCTV5+,http://221.221.162.225:8888/rtp/239.3.1.130:8004,1.04
CCTV5+,http://221.218.157.61:3527/rtp/239.3.1.130:8004,1.03
CCTV5+,http://115.171.216.91:4000/udp/225.1.8.20:8004,1.03
CCTV5+,http://111.196.75.15:8888/rtp/239.3.1.130:8004,1.03
CCTV5+,http://123.112.19.67:8012/rtp/239.3.1.130:8004,1.02
CCTV5+,http://123.113.14.115:8012/rtp/239.3.1.130:8004,1.02
CCTV5+,http://114.254.83.83:2222/rtp/239.3.1.130:8004,1.02
CCTV5+,http://221.221.167.14:8888/rtp/239.3.1.130:8004,1.02
CCTV5+,http://123.113.237.160:8888/rtp/239.3.1.130:8004,0.48
CCTV5+,http://111.196.191.248:5555/rtp/239.3.1.130:8004,0.33
CCTV5+体育赛事,http://42.58.245.1:9008/rtp/232.0.0.93:1234,1.03
CCTV5+体育赛事,http://175.150.159.235:9009/rtp/232.0.0.93:1234,1.01
CCTV6,http://42.58.245.1:9008/rtp/232.0.0.172:1234,1.02
CCTV6,http://175.150.159.235:9009/rtp/232.0.0.172:1234,1.02
CCTV6,http://123.118.49.201:8686/rtp/239.3.1.174:8001,0.95
CCTV6,http://222.129.139.91:8888/rtp/239.3.1.174:8001,0.95
CCTV6,http://111.196.75.15:8888/rtp/239.3.1.174:8001,0.95
CCTV6,http://117.133.95.242:8887/udp/228.1.1.193:8002,0.95
CCTV6,http://221.221.162.225:8888/rtp/239.3.1.174:8001,0.95
CCTV6,http://221.218.157.61:3527/rtp/239.3.1.174:8001,0.94
CCTV6,http://123.112.19.67:8012/rtp/239.3.1.174:8001,0.94
CCTV6,http://123.113.187.204:8000/rtp/239.3.1.174:8001,0.94
CCTV6,http://1.203.77.72:7788/udp/225.1.8.84:8000,0.94
CCTV6,http://111.193.236.110:8888/rtp/239.3.1.174:8001,0.94
CCTV6,http://221.221.167.14:8888/rtp/239.3.1.174:8001,0.94
CCTV6,http://114.254.83.83:2222/rtp/239.3.1.174:8001,0.93
CCTV6,http://115.171.216.91:4000/udp/225.1.8.84:8000,0.92
CCTV6,http://111.192.0.32:4022/rtp/239.3.1.174:8001,0.78
CCTV6,http://123.113.237.160:8888/rtp/239.3.1.174:8001,0.65
CCTV6,http://111.196.191.248:5555/rtp/239.3.1.174:8001,0.52
CCTV6,http://123.113.249.203:8888/rtp/239.3.1.174:8001,0.39
CCTV6,http://115.171.216.91:4000/udp/225.1.8.90:8000,0.34
CCTV7,http://123.118.49.201:8686/rtp/239.3.1.61:8104,1.04
CCTV7,http://111.193.236.110:8888/rtp/239.3.1.61:8104,1.04
CCTV7,http://111.196.75.15:8888/rtp/239.3.1.61:8104,1.04
CCTV7,http://221.218.157.61:3527/rtp/239.3.1.61:8104,1.03
CCTV7,http://123.113.14.115:8012/rtp/239.3.1.61:8104,1.03
CCTV7,http://222.129.139.91:8888/rtp/239.3.1.61:8104,1.03
CCTV7,http://221.221.167.14:8888/rtp/239.3.1.61:8104,1.03
CCTV7,http://123.112.19.67:8012/rtp/239.3.1.61:8104,1.02
CCTV7,http://42.58.245.1:9008/rtp/232.0.0.136:1234,1.02
CCTV7,http://117.133.95.242:8887/udp/228.1.1.26:8104,1.02
CCTV7,http://115.171.216.91:4000/udp/225.1.8.7:8104,1.01
CCTV7,http://221.221.162.225:8888/rtp/239.3.1.61:8104,1.0
CCTV7,http://175.150.159.235:9009/rtp/232.0.0.136:1234,0.95
CCTV7,http://1.203.77.72:7788/udp/225.1.8.7:8104,0.95
CCTV7,http://111.196.191.248:5555/rtp/239.3.1.61:8104,0.88
CCTV7,http://111.192.0.32:4022/rtp/239.3.1.61:8104,0.56
CCTV7,http://123.113.237.160:8888/rtp/239.3.1.61:8104,0.55
CCTV7,http://114.254.83.83:2222/rtp/239.3.1.61:8104,0.45
CCTV7,http://123.113.249.203:8888/rtp/239.3.1.61:8104,0.36
CCTV7,http://1.203.77.72:7788/udp/225.1.8.107:8024,0.32
CCTV7,http://115.171.216.91:4000/udp/225.1.8.107:8024,0.31
CCTV8,http://42.58.245.1:9008/rtp/232.0.0.173:1234,1.02
CCTV8,http://175.150.159.235:9009/rtp/232.0.0.173:1234,1.01
CCTV8,http://123.113.14.115:8012/rtp/239.3.1.175:8001,0.95
CCTV8,http://221.218.157.61:3527/rtp/239.3.1.175:8001,0.94
CCTV8,http://111.193.236.110:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://221.221.167.14:8888/rtp/239.3.1.175:8001,0.94
CCTV8,http://1.203.77.72:7788/udp/225.1.8.85:8000,0.93
CCTV8,http://123.118.49.201:8686/rtp/239.3.1.175:8001,0.93
CCTV8,http://111.196.75.15:8888/rtp/239.3.1.175:8001,0.93
CCTV8,http://117.133.95.242:8887/udp/228.1.1.194:8002,0.93
CCTV8,http://221.221.162.225:8888/rtp/239.3.1.175:8001,0.93
CCTV8,http://115.171.216.91:4000/udp/225.1.8.85:8000,0.92
CCTV8,http://123.113.187.204:8000/rtp/239.3.1.175:8001,0.91
CCTV8,http://222.129.139.91:8888/rtp/239.3.1.175:8001,0.91
CCTV8,http://123.112.19.67:8012/rtp/239.3.1.175:8001,0.89
CCTV8,http://111.196.191.248:5555/rtp/239.3.1.175:8001,0.59
CCTV8,http://114.254.83.83:2222/rtp/239.3.1.175:8001,0.44
CCTV8,http://1.203.77.72:7788/udp/225.1.8.91:8000,0.34
CCTV8,http://115.171.216.91:4000/udp/225.1.8.91:8000,0.33
CCTV9,http://115.171.216.91:4000/udp/225.1.8.9:8112,1.04
CCTV9,http://123.118.49.201:8686/rtp/239.3.1.62:8112,1.04
CCTV9,http://111.193.236.110:8888/rtp/239.3.1.62:8112,1.04
CCTV9,http://221.218.157.61:3527/rtp/239.3.1.62:8112,1.03
CCTV9,http://42.58.245.1:9008/rtp/232.0.0.137:1234,1.03
CCTV9,http://111.196.75.15:8888/rtp/239.3.1.62:8112,1.03
CCTV9,http://221.221.167.14:8888/rtp/239.3.1.62:8112,1.03
CCTV9,http://123.112.19.67:8012/rtp/239.3.1.62:8112,1.02
CCTV9,http://1.203.77.72:7788/udp/225.1.8.9:8112,1.02
CCTV9,http://123.113.14.115:8012/rtp/239.3.1.62:8112,0.99
CCTV9,http://117.133.95.242:8887/udp/228.1.1.27:8112,0.99
CCTV9,http://221.221.162.225:8888/rtp/239.3.1.62:8112,0.96
CCTV9,http://175.150.159.235:9009/rtp/232.0.0.137:1234,0.91
CCTV9,http://222.129.139.91:8888/rtp/239.3.1.62:8112,0.84
CCTV9,http://111.196.191.248:5555/rtp/239.3.1.62:8112,0.74
CCTV9,http://114.254.83.83:2222/rtp/239.3.1.62:8112,0.51
CCTV9,http://123.113.237.160:8888/rtp/239.3.1.62:8112,0.43
CCTV9,http://123.113.249.203:8888/rtp/239.3.1.62:8112,0.4
CCTV9,http://111.192.0.32:4022/rtp/239.3.1.62:8112,0.36
CCTV9,http://1.203.77.72:7788/udp/225.1.8.109:8032,0.32
CCTV9,http://115.171.216.91:4000/udp/225.1.8.109:8032,0.31
CCTV10,http://221.218.157.61:3527/rtp/239.3.1.63:8116,1.04
CCTV10,http://123.118.49.201:8686/rtp/239.3.1.63:8116,1.04
CCTV10,http://221.221.167.14:8888/rtp/239.3.1.63:8116,1.04
CCTV10,http://123.113.187.204:8000/rtp/239.3.1.63:8116,1.03
CCTV10,http://1.203.77.72:7788/udp/225.1.8.10:8116,1.03
CCTV10,http://117.133.95.242:8887/udp/228.1.1.29:8116,1.03
CCTV10,http://221.221.162.225:8888/rtp/239.3.1.63:8116,1.03
CCTV10,http://123.113.14.115:8012/rtp/239.3.1.63:8116,1.02
CCTV10,http://111.196.75.15:8888/rtp/239.3.1.63:8116,1.02
CCTV10,http://115.171.216.91:4000/udp/225.1.8.10:8116,1.01
CCTV10,http://42.58.245.1:9008/rtp/232.0.0.138:1234,1.01
CCTV10,http://123.112.19.67:8012/rtp/239.3.1.63:8116,1.0
CCTV10,http://111.193.236.110:8888/rtp/239.3.1.63:8116,0.99
CCTV10,http://222.129.139.91:8888/rtp/239.3.1.63:8116,0.84
CCTV10,http://114.254.83.83:2222/rtp/239.3.1.63:8116,0.82
CCTV10,http://123.113.237.160:8888/rtp/239.3.1.63:8116,0.67
CCTV10,http://111.196.191.248:5555/rtp/239.3.1.63:8116,0.65
CCTV10,http://111.192.0.32:4022/rtp/239.3.1.63:8116,0.63
CCTV10,http://175.150.159.235:9009/rtp/232.0.0.138:1234,0.56
CCTV10,http://123.113.249.203:8888/rtp/239.3.1.63:8116,0.33
CCTV10,http://115.171.216.91:4000/udp/225.1.8.110:8228,0.32
CCTV10,http://1.203.77.72:7788/udp/225.1.8.110:8228,0.31
CCTV11,http://123.113.14.115:8012/rtp/239.3.1.152:8120,1.04
CCTV11,http://123.118.49.201:8686/rtp/239.3.1.152:8120,1.04
CCTV11,http://111.193.236.110:8888/rtp/239.3.1.152:8120,1.04
CCTV11,http://221.221.167.14:8888/rtp/239.3.1.152:8120,1.04
CCTV11,http://221.218.157.61:3527/rtp/239.3.1.152:8120,1.03
CCTV11,http://42.58.245.1:9008/rtp/232.0.0.178:1234,1.03
CCTV11,http://1.203.77.72:7788/udp/225.1.8.73:8120,1.03
CCTV11,http://111.196.75.15:8888/rtp/239.3.1.152:8120,1.03
CCTV11,http://175.150.159.235:9009/rtp/232.0.0.178:1234,1.02
CCTV11,http://123.112.19.67:8012/rtp/239.3.1.152:8120,1.0
CCTV11,http://115.171.216.91:4000/udp/225.1.8.73:8120,1.0
CCTV11,http://117.133.95.242:8887/udp/228.1.1.182:8120,0.97
CCTV11,http://111.196.191.248:5555/rtp/239.3.1.152:8120,0.95
CCTV11,http://222.129.139.91:8888/rtp/239.3.1.152:8120,0.95
CCTV11,http://114.254.83.83:2222/rtp/239.3.1.152:8120,0.9
CCTV11,http://123.113.237.160:8888/rtp/239.3.1.152:8120,0.78
CCTV11,http://111.192.0.32:4022/rtp/239.3.1.152:8120,0.78
CCTV11,http://221.221.162.225:8888/rtp/239.3.1.152:8120,0.66
CCTV11,http://123.113.249.203:8888/rtp/239.3.1.152:8120,0.61
CCTV11,http://115.171.216.91:4000/udp/225.1.8.111:8040,0.32
CCTV11,http://1.203.77.72:7788/udp/225.1.8.111:8040,0.31
CCTV12,http://123.118.49.201:8686/rtp/239.3.1.64:8124,1.04
CCTV12,http://111.193.236.110:8888/rtp/239.3.1.64:8124,1.04
CCTV12,http://221.221.167.14:8888/rtp/239.3.1.64:8124,1.04
CCTV12,http://221.218.157.61:3527/rtp/239.3.1.64:8124,1.03
CCTV12,http://117.133.95.242:8887/udp/228.1.1.30:8124,1.03
CCTV12,http://221.221.162.225:8888/rtp/239.3.1.64:8124,1.03
CCTV12,http://123.112.19.67:8012/rtp/239.3.1.64:8124,1.02
CCTV12,http://42.58.245.1:9008/rtp/232.0.0.139:1234,1.02
CCTV12,http://111.196.75.15:8888/rtp/239.3.1.64:8124,1.02
CCTV12,http://175.150.159.235:9009/rtp/232.0.0.139:1234,1.01
CCTV12,http://114.254.83.83:2222/rtp/239.3.1.64:8124,1.01
CCTV12,http://1.203.77.72:7788/udp/225.1.8.12:8124,0.99
CCTV12,http://115.171.216.91:4000/udp/225.1.8.12:8124,0.98
CCTV12,http://111.192.0.32:4022/rtp/239.3.1.64:8124,0.89
CCTV12,http://111.196.191.248:5555/rtp/239.3.1.64:8124,0.74
CCTV12,http://123.113.237.160:8888/rtp/239.3.1.64:8124,0.71
CCTV12,http://123.113.249.203:8888/rtp/239.3.1.64:8124,0.68
CCTV12,http://222.129.139.91:8888/rtp/239.3.1.64:8124,0.68
CCTV12,http://123.113.187.204:8000/rtp/239.3.1.64:8124,0.57
CCTV12,http://115.171.216.91:4000/udp/225.1.8.112:8232,0.32
CCTV12,http://1.203.77.72:7788/udp/225.1.8.112:8232,0.32
CCTV13,http://123.118.49.201:8686/rtp/239.3.1.124:8128,1.05
CCTV13,http://222.129.139.91:8888/rtp/239.3.1.124:8128,1.04
CCTV13,http://221.221.167.14:8888/rtp/239.3.1.124:8128,1.04
CCTV13,http://221.218.157.61:3527/rtp/239.3.1.124:8128,1.03
CCTV13,http://111.193.236.110:8888/rtp/239.3.1.124:8128,1.03
CCTV13,http://114.254.83.83:2222/rtp/239.3.1.124:8128,1.03
CCTV13,http://123.112.19.67:8012/rtp/239.3.1.124:8128,1.02
CCTV13,http://115.171.216.91:4000/udp/225.1.1.10:8128,1.02
CCTV13,http://111.196.75.15:8888/rtp/239.3.1.124:8128,1.02
CCTV13,http://115.171.216.91:4000/udp/225.1.8.168:8130,1.01
CCTV13,http://1.203.77.72:7788/udp/225.1.1.10:8128,1.01
CCTV13,http://175.150.159.235:9009/rtp/232.0.0.15:1234,1.0
CCTV13,http://117.133.95.242:8887/udp/228.1.1.212:8128,1.0
CCTV13,http://1.203.77.72:7788/udp/225.1.8.168:8130,0.99
CCTV13,http://123.113.14.115:8012/rtp/239.3.1.124:8128,0.93
CCTV13,http://221.221.162.225:8888/rtp/239.3.1.124:8128,0.9
CCTV13,http://111.192.0.32:4022/rtp/239.3.1.124:8128,0.73
CCTV13,http://111.196.191.248:5555/rtp/239.3.1.124:8128,0.71
CCTV13,http://123.113.237.160:8888/rtp/239.3.1.124:8128,0.62
CCTV13,http://123.113.249.203:8888/rtp/239.3.1.124:8128,0.43
CCTV13,http://115.171.216.91:4000/udp/225.1.8.113:8264,0.32
CCTV14,http://221.218.157.61:3527/rtp/239.3.1.65:8132,1.03
CCTV14,http://111.193.236.110:8888/rtp/239.3.1.65:8132,1.03
CCTV14,http://115.171.216.91:4000/udp/225.1.8.14:8132,1.02
CCTV14,http://222.129.139.91:8888/rtp/239.3.1.65:8132,1.02
CCTV14,http://111.196.75.15:8888/rtp/239.3.1.65:8132,1.02
